epoch_loss--       1         tensor(0.1080, device='cuda:0')
epoch_loss--       61         tensor(0.0976, device='cuda:0')
epoch_loss--       62         tensor(0.0962, device='cuda:0')
epoch_loss--       63         tensor(0.0951, device='cuda:0')
epoch_loss--       64         tensor(0.0943, device='cuda:0')
epoch_loss--       65         tensor(0.0951, device='cuda:0')
epoch_loss--       66         tensor(0.0932, device='cuda:0')
epoch_loss--       67         tensor(0.0944, device='cuda:0')
epoch_loss--       68         tensor(0.0941, device='cuda:0')
epoch_loss--       69         tensor(0.0949, device='cuda:0')
epoch_loss--       70         tensor(0.0923, device='cuda:0')
epoch_loss--       71         tensor(0.0940, device='cuda:0')
epoch_loss--       72         tensor(0.0929, device='cuda:0')
epoch_loss--       73         tensor(0.0917, device='cuda:0')
epoch_loss--       74         tensor(0.0931, device='cuda:0')
epoch_loss--       75         tensor(0.0914, device='cuda:0')
epoch_loss--       76         tensor(0.0930, device='cuda:0')
epoch_loss--       77         tensor(0.0920, device='cuda:0')
epoch_loss--       78         tensor(0.0900, device='cuda:0')
epoch_loss--       79         tensor(0.0934, device='cuda:0')
epoch_loss--       80         tensor(0.0902, device='cuda:0')
epoch_loss--       81         tensor(0.0919, device='cuda:0')
epoch_loss--       82         tensor(0.0899, device='cuda:0')
epoch_loss--       83         tensor(0.0924, device='cuda:0')
epoch_loss--       84         tensor(0.0900, device='cuda:0')
epoch_loss--       85         tensor(0.0879, device='cuda:0')
epoch_loss--       86         tensor(0.0878, device='cuda:0')
epoch_loss--       87         tensor(0.0912, device='cuda:0')
epoch_loss--       88         tensor(0.0898, device='cuda:0')
epoch_loss--       89         tensor(0.0900, device='cuda:0')
epoch_loss--       90         tensor(0.0896, device='cuda:0')
epoch_loss--       91         tensor(0.0896, device='cuda:0')
epoch_loss--       92         tensor(0.0875, device='cuda:0')
epoch_loss--       93         tensor(0.0884, device='cuda:0')
epoch_loss--       94         tensor(0.0898, device='cuda:0')
epoch_loss--       95         tensor(0.0876, device='cuda:0')
epoch_loss--       96         tensor(0.0871, device='cuda:0')
epoch_loss--       97         tensor(0.0859, device='cuda:0')
epoch_loss--       98         tensor(0.0872, device='cuda:0')
epoch_loss--       99         tensor(0.0875, device='cuda:0')
epoch_loss--       100         tensor(0.0869, device='cuda:0')
epoch_loss--       1         tensor(0.1213, device='cuda:0')
epoch_loss--       2         tensor(0.1206, device='cuda:0')
epoch_loss--       3         tensor(0.1221, device='cuda:0')
epoch_loss--       4         tensor(0.1205, device='cuda:0')
epoch_loss--       5         tensor(0.1178, device='cuda:0')
epoch_loss--       6         tensor(0.1174, device='cuda:0')
epoch_loss--       7         tensor(0.1157, device='cuda:0')
epoch_loss--       8         tensor(0.1178, device='cuda:0')
epoch_loss--       9         tensor(0.1138, device='cuda:0')
epoch_loss--       10         tensor(0.1131, device='cuda:0')
epoch_loss--       11         tensor(0.1129, device='cuda:0')
epoch_loss--       12         tensor(0.1124, device='cuda:0')
epoch_loss--       13         tensor(0.1134, device='cuda:0')
epoch_loss--       14         tensor(0.1121, device='cuda:0')
epoch_loss--       15         tensor(0.1120, device='cuda:0')
epoch_loss--       16         tensor(0.1136, device='cuda:0')
epoch_loss--       17         tensor(0.1136, device='cuda:0')
epoch_loss--       18         tensor(0.1127, device='cuda:0')
epoch_loss--       19         tensor(0.1115, device='cuda:0')
epoch_loss--       20         tensor(0.1118, device='cuda:0')
epoch_loss--       21         tensor(0.1107, device='cuda:0')
epoch_loss--       22         tensor(0.1099, device='cuda:0')
epoch_loss--       23         tensor(0.1096, device='cuda:0')
epoch_loss--       24         tensor(0.1088, device='cuda:0')
epoch_loss--       25         tensor(0.1094, device='cuda:0')
epoch_loss--       26         tensor(0.1078, device='cuda:0')
epoch_loss--       27         tensor(0.1066, device='cuda:0')
epoch_loss--       28         tensor(0.1058, device='cuda:0')
epoch_loss--       29         tensor(0.1076, device='cuda:0')
epoch_loss--       30         tensor(0.1067, device='cuda:0')
epoch_loss--       31         tensor(0.1082, device='cuda:0')
epoch_loss--       32         tensor(0.1070, device='cuda:0')
epoch_loss--       33         tensor(0.1068, device='cuda:0')
epoch_loss--       34         tensor(0.1072, device='cuda:0')
epoch_loss--       35         tensor(0.1056, device='cuda:0')
epoch_loss--       36         tensor(0.1068, device='cuda:0')
epoch_loss--       37         tensor(0.1026, device='cuda:0')
epoch_loss--       38         tensor(0.1054, device='cuda:0')
epoch_loss--       39         tensor(0.1061, device='cuda:0')
epoch_loss--       40         tensor(0.1034, device='cuda:0')
epoch_loss--       41         tensor(0.1037, device='cuda:0')
epoch_loss--       42         tensor(0.1052, device='cuda:0')
epoch_loss--       43         tensor(0.1050, device='cuda:0')
epoch_loss--       44         tensor(0.1031, device='cuda:0')
epoch_loss--       45         tensor(0.1030, device='cuda:0')
epoch_loss--       46         tensor(0.1052, device='cuda:0')
epoch_loss--       47         tensor(0.1034, device='cuda:0')
epoch_loss--       48         tensor(0.1029, device='cuda:0')
epoch_loss--       49         tensor(0.1026, device='cuda:0')
epoch_loss--       1         tensor(0.1174, device='cuda:0')
epoch_loss--       2         tensor(0.1128, device='cuda:0')
epoch_loss--       3         tensor(0.1084, device='cuda:0')
epoch_loss--       4         tensor(0.1079, device='cuda:0')
epoch_loss--       5         tensor(0.1066, device='cuda:0')
epoch_loss--       6         tensor(0.1068, device='cuda:0')
epoch_loss--       7         tensor(0.1054, device='cuda:0')
epoch_loss--       8         tensor(0.1048, device='cuda:0')
epoch_loss--       9         tensor(0.1046, device='cuda:0')
epoch_loss--       10         tensor(0.1037, device='cuda:0')
epoch_loss--       11         tensor(0.1040, device='cuda:0')
epoch_loss--       12         tensor(0.1034, device='cuda:0')
epoch_loss--       13         tensor(0.1030, device='cuda:0')
epoch_loss--       14         tensor(0.1009, device='cuda:0')
epoch_loss--       15         tensor(0.1043, device='cuda:0')
epoch_loss--       16         tensor(0.1025, device='cuda:0')
epoch_loss--       17         tensor(0.1024, device='cuda:0')
epoch_loss--       18         tensor(0.1034, device='cuda:0')
epoch_loss--       19         tensor(0.1033, device='cuda:0')
epoch_loss--       20         tensor(0.1018, device='cuda:0')
epoch_loss--       21         tensor(0.0998, device='cuda:0')
epoch_loss--       22         tensor(0.0987, device='cuda:0')
epoch_loss--       23         tensor(0.0997, device='cuda:0')
epoch_loss--       24         tensor(0.0982, device='cuda:0')
epoch_loss--       25         tensor(0.0992, device='cuda:0')
epoch_loss--       26         tensor(0.1000, device='cuda:0')
epoch_loss--       27         tensor(0.1003, device='cuda:0')
epoch_loss--       28         tensor(0.0991, device='cuda:0')
epoch_loss--       29         tensor(0.0996, device='cuda:0')
epoch_loss--       30         tensor(0.0984, device='cuda:0')
epoch_loss--       31         tensor(0.0988, device='cuda:0')
epoch_loss--       32         tensor(0.0981, device='cuda:0')
epoch_loss--       33         tensor(0.0972, device='cuda:0')
epoch_loss--       34         tensor(0.0963, device='cuda:0')
epoch_loss--       35         tensor(0.0999, device='cuda:0')
epoch_loss--       36         tensor(0.0982, device='cuda:0')
epoch_loss--       37         tensor(0.0972, device='cuda:0')
epoch_loss--       38         tensor(0.0979, device='cuda:0')
epoch_loss--       39         tensor(0.0994, device='cuda:0')
epoch_loss--       40         tensor(0.0969, device='cuda:0')
epoch_loss--       41         tensor(0.0966, device='cuda:0')
epoch_loss--       42         tensor(0.0965, device='cuda:0')
epoch_loss--       43         tensor(0.0962, device='cuda:0')
epoch_loss--       44         tensor(0.0976, device='cuda:0')
epoch_loss--       45         tensor(0.0970, device='cuda:0')
epoch_loss--       46         tensor(0.0966, device='cuda:0')
epoch_loss--       47         tensor(0.0958, device='cuda:0')
epoch_loss--       48         tensor(0.0952, device='cuda:0')
epoch_loss--       49         tensor(0.0967, device='cuda:0')
epoch_loss--       50         tensor(0.0963, device='cuda:0')
epoch_loss--       51         tensor(0.0963, device='cuda:0')
epoch_loss--       52         tensor(0.0965, device='cuda:0')
epoch_loss--       53         tensor(0.0961, device='cuda:0')
epoch_loss--       54         tensor(0.0954, device='cuda:0')
epoch_loss--       55         tensor(0.0955, device='cuda:0')
epoch_loss--       56         tensor(0.0955, device='cuda:0')
epoch_loss--       57         tensor(0.0948, device='cuda:0')
epoch_loss--       58         tensor(0.0936, device='cuda:0')
epoch_loss--       59         tensor(0.0948, device='cuda:0')
epoch_loss--       60         tensor(0.0952, device='cuda:0')
epoch_loss--       61         tensor(0.0950, device='cuda:0')
epoch_loss--       62         tensor(0.0964, device='cuda:0')
epoch_loss--       63         tensor(0.0947, device='cuda:0')
epoch_loss--       64         tensor(0.0941, device='cuda:0')
epoch_loss--       65         tensor(0.0934, device='cuda:0')
epoch_loss--       66         tensor(0.0930, device='cuda:0')
epoch_loss--       67         tensor(0.0944, device='cuda:0')
epoch_loss--       68         tensor(0.0957, device='cuda:0')
epoch_loss--       69         tensor(0.0959, device='cuda:0')
epoch_loss--       70         tensor(0.0948, device='cuda:0')
epoch_loss--       71         tensor(0.0942, device='cuda:0')
epoch_loss--       72         tensor(0.0927, device='cuda:0')
epoch_loss--       73         tensor(0.0942, device='cuda:0')
epoch_loss--       74         tensor(0.0949, device='cuda:0')
epoch_loss--       75         tensor(0.0933, device='cuda:0')
epoch_loss--       76         tensor(0.0925, device='cuda:0')
epoch_loss--       77         tensor(0.0925, device='cuda:0')
epoch_loss--       78         tensor(0.0929, device='cuda:0')
epoch_loss--       79         tensor(0.0929, device='cuda:0')
epoch_loss--       80         tensor(0.0938, device='cuda:0')
epoch_loss--       81         tensor(0.0906, device='cuda:0')
epoch_loss--       82         tensor(0.0925, device='cuda:0')
epoch_loss--       83         tensor(0.0941, device='cuda:0')
epoch_loss--       84         tensor(0.0943, device='cuda:0')
epoch_loss--       85         tensor(0.0936, device='cuda:0')
epoch_loss--       86         tensor(0.0926, device='cuda:0')
epoch_loss--       87         tensor(0.0927, device='cuda:0')
epoch_loss--       88         tensor(0.0919, device='cuda:0')
epoch_loss--       89         tensor(0.0920, device='cuda:0')
epoch_loss--       90         tensor(0.0920, device='cuda:0')
epoch_loss--       91         tensor(0.0933, device='cuda:0')
epoch_loss--       92         tensor(0.0929, device='cuda:0')
epoch_loss--       93         tensor(0.0917, device='cuda:0')
epoch_loss--       94         tensor(0.0934, device='cuda:0')
epoch_loss--       95         tensor(0.0913, device='cuda:0')
epoch_loss--       96         tensor(0.0920, device='cuda:0')
epoch_loss--       97         tensor(0.0920, device='cuda:0')
epoch_loss--       98         tensor(0.0914, device='cuda:0')
epoch_loss--       99         tensor(0.0920, device='cuda:0')
epoch_loss--       100         tensor(0.0934, device='cuda:0')
epoch_loss--       101         tensor(0.0918, device='cuda:0')
epoch_loss--       102         tensor(0.0923, device='cuda:0')
epoch_loss--       103         tensor(0.0905, device='cuda:0')
epoch_loss--       104         tensor(0.0930, device='cuda:0')
epoch_loss--       105         tensor(0.0908, device='cuda:0')
epoch_loss--       106         tensor(0.0900, device='cuda:0')
epoch_loss--       107         tensor(0.0902, device='cuda:0')
epoch_loss--       108         tensor(0.0895, device='cuda:0')
epoch_loss--       109         tensor(0.0891, device='cuda:0')
epoch_loss--       110         tensor(0.0919, device='cuda:0')
epoch_loss--       111         tensor(0.0910, device='cuda:0')
epoch_loss--       112         tensor(0.0919, device='cuda:0')
epoch_loss--       113         tensor(0.0889, device='cuda:0')
epoch_loss--       114         tensor(0.0914, device='cuda:0')
epoch_loss--       115         tensor(0.0902, device='cuda:0')
epoch_loss--       116         tensor(0.0912, device='cuda:0')
epoch_loss--       117         tensor(0.0907, device='cuda:0')
epoch_loss--       118         tensor(0.0908, device='cuda:0')
epoch_loss--       119         tensor(0.0902, device='cuda:0')
epoch_loss--       120         tensor(0.0910, device='cuda:0')
epoch_loss--       121         tensor(0.0895, device='cuda:0')
epoch_loss--       122         tensor(0.0900, device='cuda:0')
epoch_loss--       123         tensor(0.0925, device='cuda:0')
epoch_loss--       124         tensor(0.0904, device='cuda:0')
epoch_loss--       125         tensor(0.0897, device='cuda:0')
epoch_loss--       126         tensor(0.0900, device='cuda:0')
epoch_loss--       127         tensor(0.0896, device='cuda:0')
epoch_loss--       128         tensor(0.0895, device='cuda:0')
epoch_loss--       129         tensor(0.0888, device='cuda:0')
epoch_loss--       130         tensor(0.0898, device='cuda:0')
epoch_loss--       131         tensor(0.0916, device='cuda:0')
epoch_loss--       132         tensor(0.0913, device='cuda:0')
epoch_loss--       133         tensor(0.0917, device='cuda:0')
epoch_loss--       134         tensor(0.0876, device='cuda:0')
epoch_loss--       135         tensor(0.0884, device='cuda:0')
epoch_loss--       136         tensor(0.0896, device='cuda:0')
epoch_loss--       137         tensor(0.0891, device='cuda:0')
epoch_loss--       138         tensor(0.0899, device='cuda:0')
epoch_loss--       139         tensor(0.0896, device='cuda:0')
epoch_loss--       140         tensor(0.0887, device='cuda:0')
epoch_loss--       141         tensor(0.0897, device='cuda:0')
epoch_loss--       142         tensor(0.0909, device='cuda:0')
epoch_loss--       143         tensor(0.0893, device='cuda:0')
epoch_loss--       144         tensor(0.0885, device='cuda:0')
epoch_loss--       145         tensor(0.0884, device='cuda:0')
epoch_loss--       146         tensor(0.0896, device='cuda:0')
epoch_loss--       147         tensor(0.0886, device='cuda:0')
epoch_loss--       148         tensor(0.0883, device='cuda:0')
epoch_loss--       149         tensor(0.0893, device='cuda:0')
epoch_loss--       150         tensor(0.0900, device='cuda:0')
epoch_loss--       151         tensor(0.0883, device='cuda:0')
epoch_loss--       152         tensor(0.0889, device='cuda:0')
epoch_loss--       153         tensor(0.0901, device='cuda:0')
epoch_loss--       154         tensor(0.0897, device='cuda:0')
epoch_loss--       155         tensor(0.0873, device='cuda:0')
epoch_loss--       156         tensor(0.0882, device='cuda:0')
epoch_loss--       157         tensor(0.0880, device='cuda:0')
epoch_loss--       158         tensor(0.0886, device='cuda:0')
epoch_loss--       159         tensor(0.0885, device='cuda:0')
epoch_loss--       160         tensor(0.0877, device='cuda:0')
epoch_loss--       161         tensor(0.0878, device='cuda:0')
epoch_loss--       162         tensor(0.0888, device='cuda:0')
epoch_loss--       163         tensor(0.0868, device='cuda:0')
epoch_loss--       164         tensor(0.0860, device='cuda:0')
epoch_loss--       165         tensor(0.0866, device='cuda:0')
epoch_loss--       166         tensor(0.0887, device='cuda:0')
epoch_loss--       167         tensor(0.0896, device='cuda:0')
epoch_loss--       168         tensor(0.0877, device='cuda:0')
epoch_loss--       169         tensor(0.0883, device='cuda:0')
epoch_loss--       170         tensor(0.0892, device='cuda:0')
epoch_loss--       171         tensor(0.0879, device='cuda:0')
epoch_loss--       172         tensor(0.0870, device='cuda:0')
epoch_loss--       173         tensor(0.0870, device='cuda:0')
epoch_loss--       174         tensor(0.0883, device='cuda:0')
epoch_loss--       175         tensor(0.0883, device='cuda:0')
epoch_loss--       176         tensor(0.0879, device='cuda:0')
epoch_loss--       177         tensor(0.0862, device='cuda:0')
epoch_loss--       178         tensor(0.0857, device='cuda:0')
epoch_loss--       179         tensor(0.0870, device='cuda:0')
epoch_loss--       180         tensor(0.0858, device='cuda:0')
epoch_loss--       181         tensor(0.0871, device='cuda:0')
epoch_loss--       182         tensor(0.0863, device='cuda:0')
epoch_loss--       183         tensor(0.0885, device='cuda:0')
epoch_loss--       184         tensor(0.0876, device='cuda:0')
epoch_loss--       185         tensor(0.0875, device='cuda:0')
epoch_loss--       186         tensor(0.0865, device='cuda:0')
epoch_loss--       187         tensor(0.0878, device='cuda:0')
epoch_loss--       188         tensor(0.0870, device='cuda:0')
epoch_loss--       189         tensor(0.0861, device='cuda:0')
epoch_loss--       190         tensor(0.0868, device='cuda:0')
epoch_loss--       191         tensor(0.0875, device='cuda:0')
epoch_loss--       192         tensor(0.0865, device='cuda:0')
epoch_loss--       193         tensor(0.0861, device='cuda:0')
epoch_loss--       194         tensor(0.0856, device='cuda:0')
epoch_loss--       195         tensor(0.0854, device='cuda:0')
epoch_loss--       196         tensor(0.0866, device='cuda:0')
epoch_loss--       197         tensor(0.0871, device='cuda:0')
epoch_loss--       198         tensor(0.0869, device='cuda:0')
epoch_loss--       199         tensor(0.0881, device='cuda:0')
epoch_loss--       200         tensor(0.0880, device='cuda:0')
epoch_loss--       201         tensor(0.0855, device='cuda:0')
epoch_loss--       202         tensor(0.0850, device='cuda:0')
epoch_loss--       203         tensor(0.0863, device='cuda:0')
epoch_loss--       204         tensor(0.0858, device='cuda:0')
epoch_loss--       205         tensor(0.0849, device='cuda:0')
epoch_loss--       206         tensor(0.0847, device='cuda:0')
epoch_loss--       207         tensor(0.0857, device='cuda:0')
epoch_loss--       208         tensor(0.0851, device='cuda:0')
epoch_loss--       209         tensor(0.0845, device='cuda:0')
epoch_loss--       210         tensor(0.0841, device='cuda:0')
epoch_loss--       211         tensor(0.0862, device='cuda:0')
epoch_loss--       212         tensor(0.0862, device='cuda:0')
epoch_loss--       213         tensor(0.0866, device='cuda:0')
epoch_loss--       214         tensor(0.0860, device='cuda:0')
epoch_loss--       215         tensor(0.0855, device='cuda:0')
epoch_loss--       216         tensor(0.0853, device='cuda:0')
epoch_loss--       217         tensor(0.0855, device='cuda:0')
epoch_loss--       218         tensor(0.0848, device='cuda:0')
epoch_loss--       219         tensor(0.0850, device='cuda:0')
epoch_loss--       220         tensor(0.0839, device='cuda:0')
epoch_loss--       221         tensor(0.0858, device='cuda:0')
epoch_loss--       222         tensor(0.0844, device='cuda:0')
epoch_loss--       223         tensor(0.0832, device='cuda:0')
epoch_loss--       224         tensor(0.0841, device='cuda:0')
epoch_loss--       225         tensor(0.0848, device='cuda:0')
epoch_loss--       226         tensor(0.0861, device='cuda:0')
epoch_loss--       227         tensor(0.0849, device='cuda:0')
epoch_loss--       228         tensor(0.0869, device='cuda:0')
epoch_loss--       229         tensor(0.0837, device='cuda:0')
epoch_loss--       230         tensor(0.0832, device='cuda:0')
epoch_loss--       231         tensor(0.0841, device='cuda:0')
epoch_loss--       232         tensor(0.0825, device='cuda:0')
epoch_loss--       233         tensor(0.0849, device='cuda:0')
epoch_loss--       234         tensor(0.0824, device='cuda:0')
epoch_loss--       235         tensor(0.0848, device='cuda:0')
epoch_loss--       236         tensor(0.0842, device='cuda:0')
epoch_loss--       1         tensor(0.2195, device='cuda:0')
epoch_loss--       2         tensor(0.1908, device='cuda:0')
epoch_loss--       3         tensor(0.1998, device='cuda:0')
epoch_loss--       4         tensor(0.2042, device='cuda:0')
epoch_loss--       5         tensor(0.1984, device='cuda:0')
epoch_loss--       6         tensor(0.2063, device='cuda:0')
epoch_loss--       7         tensor(0.2036, device='cuda:0')
epoch_loss--       8         tensor(0.1916, device='cuda:0')
epoch_loss--       9         tensor(0.1938, device='cuda:0')
epoch_loss--       10         tensor(0.1989, device='cuda:0')
epoch_loss--       11         tensor(0.1921, device='cuda:0')
epoch_loss--       12         tensor(0.1913, device='cuda:0')
epoch_loss--       13         tensor(0.1889, device='cuda:0')
epoch_loss--       14         tensor(0.1901, device='cuda:0')
epoch_loss--       15         tensor(0.1937, device='cuda:0')
epoch_loss--       16         tensor(0.1888, device='cuda:0')
epoch_loss--       17         tensor(0.1892, device='cuda:0')
epoch_loss--       18         tensor(0.1954, device='cuda:0')
epoch_loss--       19         tensor(0.1863, device='cuda:0')
epoch_loss--       20         tensor(0.1848, device='cuda:0')
epoch_loss--       21         tensor(0.1836, device='cuda:0')
epoch_loss--       22         tensor(0.1814, device='cuda:0')
epoch_loss--       23         tensor(0.1875, device='cuda:0')
epoch_loss--       24         tensor(0.1816, device='cuda:0')
epoch_loss--       25         tensor(0.1842, device='cuda:0')
epoch_loss--       26         tensor(0.1839, device='cuda:0')
epoch_loss--       27         tensor(0.1830, device='cuda:0')
epoch_loss--       28         tensor(0.1742, device='cuda:0')
epoch_loss--       29         tensor(0.1814, device='cuda:0')
epoch_loss--       30         tensor(0.1686, device='cuda:0')
epoch_loss--       31         tensor(0.1816, device='cuda:0')
epoch_loss--       32         tensor(0.1847, device='cuda:0')
epoch_loss--       33         tensor(0.1805, device='cuda:0')
epoch_loss--       34         tensor(0.1734, device='cuda:0')
epoch_loss--       35         tensor(0.1798, device='cuda:0')
epoch_loss--       36         tensor(0.1748, device='cuda:0')
epoch_loss--       37         tensor(0.1780, device='cuda:0')
epoch_loss--       38         tensor(0.1813, device='cuda:0')
epoch_loss--       39         tensor(0.1717, device='cuda:0')
epoch_loss--       40         tensor(0.1693, device='cuda:0')
epoch_loss--       41         tensor(0.1762, device='cuda:0')
epoch_loss--       42         tensor(0.1711, device='cuda:0')
epoch_loss--       43         tensor(0.1713, device='cuda:0')
epoch_loss--       44         tensor(0.1842, device='cuda:0')
epoch_loss--       45         tensor(0.1701, device='cuda:0')
epoch_loss--       46         tensor(0.1635, device='cuda:0')
epoch_loss--       47         tensor(0.1672, device='cuda:0')
epoch_loss--       48         tensor(0.1668, device='cuda:0')
epoch_loss--       49         tensor(0.1683, device='cuda:0')
epoch_loss--       50         tensor(0.1677, device='cuda:0')
epoch_loss--       51         tensor(0.1576, device='cuda:0')
epoch_loss--       52         tensor(0.1622, device='cuda:0')
epoch_loss--       53         tensor(0.1599, device='cuda:0')
epoch_loss--       54         tensor(0.1650, device='cuda:0')
epoch_loss--       55         tensor(0.1671, device='cuda:0')
epoch_loss--       56         tensor(0.1652, device='cuda:0')
epoch_loss--       57         tensor(0.1628, device='cuda:0')
epoch_loss--       58         tensor(0.1632, device='cuda:0')
epoch_loss--       59         tensor(0.1565, device='cuda:0')
epoch_loss--       60         tensor(0.1640, device='cuda:0')
epoch_loss--       61         tensor(0.1517, device='cuda:0')
epoch_loss--       62         tensor(0.1604, device='cuda:0')
epoch_loss--       63         tensor(0.1552, device='cuda:0')
epoch_loss--       64         tensor(0.1500, device='cuda:0')
epoch_loss--       65         tensor(0.1580, device='cuda:0')
epoch_loss--       66         tensor(0.1470, device='cuda:0')
epoch_loss--       67         tensor(0.1397, device='cuda:0')
epoch_loss--       68         tensor(0.1566, device='cuda:0')
epoch_loss--       69         tensor(0.1507, device='cuda:0')
epoch_loss--       70         tensor(0.1529, device='cuda:0')
epoch_loss--       71         tensor(0.1556, device='cuda:0')
epoch_loss--       72         tensor(0.1474, device='cuda:0')
epoch_loss--       73         tensor(0.1479, device='cuda:0')
epoch_loss--       74         tensor(0.1491, device='cuda:0')
epoch_loss--       75         tensor(0.1453, device='cuda:0')
epoch_loss--       76         tensor(0.1532, device='cuda:0')
epoch_loss--       77         tensor(0.1393, device='cuda:0')
epoch_loss--       78         tensor(0.1482, device='cuda:0')
epoch_loss--       79         tensor(0.1408, device='cuda:0')
epoch_loss--       80         tensor(0.1395, device='cuda:0')
epoch_loss--       81         tensor(0.1470, device='cuda:0')
epoch_loss--       82         tensor(0.1503, device='cuda:0')
epoch_loss--       83         tensor(0.1388, device='cuda:0')
epoch_loss--       84         tensor(0.1359, device='cuda:0')
epoch_loss--       85         tensor(0.1410, device='cuda:0')
epoch_loss--       86         tensor(0.1382, device='cuda:0')
epoch_loss--       87         tensor(0.1385, device='cuda:0')
epoch_loss--       88         tensor(0.1354, device='cuda:0')
epoch_loss--       89         tensor(0.1348, device='cuda:0')
epoch_loss--       90         tensor(0.1358, device='cuda:0')
epoch_loss--       91         tensor(0.1314, device='cuda:0')
epoch_loss--       92         tensor(0.1368, device='cuda:0')
epoch_loss--       93         tensor(0.1358, device='cuda:0')
epoch_loss--       94         tensor(0.1389, device='cuda:0')
epoch_loss--       95         tensor(0.1354, device='cuda:0')
epoch_loss--       96         tensor(0.1325, device='cuda:0')
epoch_loss--       97         tensor(0.1289, device='cuda:0')
epoch_loss--       98         tensor(0.1244, device='cuda:0')
epoch_loss--       99         tensor(0.1273, device='cuda:0')
epoch_loss--       100         tensor(0.1355, device='cuda:0')
epoch_loss--       1         0.15234829211673037
epoch_loss--       2         0.1609892084028203
epoch_loss--       3         0.16170155958602794
epoch_loss--       4         0.15841438557012394
epoch_loss--       5         0.16434485184403655
epoch_loss--       6         0.1561047846016983
epoch_loss--       7         0.15430015062514585
epoch_loss--       8         0.16487759974198982
epoch_loss--       9         0.15918997453805356
epoch_loss--       10         0.15323672269860777
epoch_loss--       11         0.15445033359689453
epoch_loss--       12         0.16306385445518615
epoch_loss--       13         0.16328114633576368
epoch_loss--       14         0.17035511702584763
epoch_loss--       15         0.1528957543638758
epoch_loss--       16         0.15386381340674318
epoch_loss--       17         0.16286877551065465
epoch_loss--       18         0.16019303164781093
epoch_loss--       19         0.15928332493328057
epoch_loss--       20         0.16091684988750438
